distrito,agrupacion,candidato,categoria
Buenos Aires,UNIDOS POR LA LIBERTAD Y EL TRABAJO,"35 - Moyano, Hugo Antonio",Diputados Nacionales
Buenos Aires,UNION CON FE,"1 - Venegas, Geronimo ""Momo""",Diputados Nacionales
Buenos Aires,UNION CON FE,"2 - Gonzalez Fernandez, Teresa ""La Colo""",Diputados Nacionales
Buenos Aires,UNION CON FE,"3 - Guadagni, Alieto",Diputados Nacionales
Buenos Aires,UNION CON FE,"4 - Neves, Juan Carlos",Diputados Nacionales
Buenos Aires,UNION CON FE,"5 - Sfasciotti, Graciela Mabel",Diputados Nacionales
Buenos Aires,UNION CON FE,"6 - Druetta, Gustavo Adolfo",Diputados Nacionales
Buenos Aires,UNION CON FE,"7 - Alva, Oscar Hector",Diputados Nacionales
Buenos Aires,UNION CON FE,"8 - Roffo, Graciela Elena",Diputados Nacionales
Buenos Aires,UNION CON FE,"9 - Palacio, Alfredo Hugo",Diputados Nacionales
Buenos Aires,UNION CON FE,"10 - Schiariti, Miguel Alberto",Diputados Nacionales
Buenos Aires,UNION CON FE,"11 - Sanchez Jauregui, Natalia Andrea",Diputados Nacionales
Buenos Aires,UNION CON FE,"12 - Ciancio, Juan Luis",Diputados Nacionales
Buenos Aires,UNION CON FE,"13 - Lopez, Jorge",Diputados Nacionales
Buenos Aires,UNION CON FE,"14 - Sobrado, Maria Cristina",Diputados Nacionales
Buenos Aires,UNION CON FE,"15 - Franke, Roberto Ignacio",Diputados Nacionales
Buenos Aires,UNION CON FE,"16 - Lujan, Ramon Jose",Diputados Nacionales
Buenos Aires,UNION CON FE,"17 - Henchoz, Liliana Sol",Diputados Nacionales
Buenos Aires,UNION CON FE,"18 - Lobo, Diego Andres",Diputados Nacionales
Buenos Aires,UNION CON FE,"19 - Del Valle Barros, Juan Americo",Diputados Nacionales
Buenos Aires,UNION CON FE,"20 - Llagarias Miglionico, Maria Leticia",Diputados Nacionales
Buenos Aires,UNION CON FE,"21 - Hercilia Moscardi, Maria Cristina",Diputados Nacionales
Buenos Aires,UNION CON FE,"22 - Mayo, Sergio Ariel",Diputados Nacionales
Buenos Aires,UNION CON FE,"23 - Moran, Rodrigo Matias",Diputados Nacionales
Buenos Aires,UNION CON FE,"24 - Ferreyra, Sandra Silvia",Diputados Nacionales
Buenos Aires,UNION CON FE,"25 - Fernandez, Hector Alberto",Diputados Nacionales
